City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kaitangata,-46.2817,169.8464,2.73,68,58,1.95,NZ,1686414319
84,kodiak,57.79,-152.4072,6.73,93,100,2.06,US,1686414319
85,tasiilaq,65.6145,-37.6368,4.09,82,100,3.76,GL,1686414319
86,rovenki,48.0833,39.3776,20.83,65,100,3.45,UA,1686414319
87,manoel urbano,-8.8389,-69.2597,31.93,53,25,1.47,BR,1686414319
88,atuona,-9.8,-139.0333,26.76,77,9,4.36,PF,1686414319
89,antalaha,-14.9003,50.2788,23.28,79,0,4.85,MG,1686414319
90,bambous virieux,-20.3428,57.7575,23.14,78,20,3.09,MU,1686414320
91,arraial do cabo,-22.9661,-42.0278,28.98,45,0,2.57,BR,1686414320
92,puerto maldonado,-12.6,-69.1833,31.22,58,75,2.57,PE,1686414320
93,marawi,7.9986,124.2928,21.46,89,100,2.26,PH,1686414320
94,gorontalo,0.5412,123.0595,24.34,94,23,1.05,ID,1686414320
95,narsaq,60.9167,-46.05,17.12,51,97,1.73,GL,1686414320
96,castro,-24.7911,-50.0119,22.32,50,0,4.54,BR,1686414320
97,udachnyy,66.4167,112.4,9.14,100,100,6.29,RU,1686414259
98,lafia,8.4833,8.5167,30.66,58,96,2.51,NG,1686414321
99,ponta do sol,32.6667,-17.1,25.95,78,4,3.33,PT,1686414321
100,xining,36.6167,101.7667,15.2,49,96,1.56,CN,1686414144
101,kudahuvadhoo,2.6708,72.8944,28.45,77,74,2.28,MV,1686414321
102,victoria,22.2855,114.1577,30.11,90,100,1.72,HK,1686414151
103,toora-khem,52.4675,96.11,18.13,55,53,0.82,RU,1686414321
104,geraldton,-28.7667,114.6,15.23,100,40,5.66,AU,1686414321
105,hasaki,35.7333,140.8333,21.23,94,100,3.15,JP,1686414322
106,khatanga,71.9667,102.5,4.17,60,100,5.05,RU,1686414259
107,rocha,-34.4833,-54.3333,16.15,44,67,4.62,UY,1686414105
108,punta arenas,-53.15,-70.9167,4.06,75,0,11.83,CL,1686414024
109,midland,31.9974,-102.0779,33.36,17,0,7.2,US,1686414311
110,grand-santi,4.25,-54.3833,32.57,50,8,2.0,GF,1686414322
111,chuy,-33.6971,-53.4616,15.36,60,69,2.92,UY,1686414045
112,port hedland,-20.3167,118.5667,19.03,52,0,2.57,AU,1686414322
113,villazon,-22.0866,-65.5942,17.34,7,4,1.57,BO,1686414322
114,dingle,10.9995,122.6711,25.6,89,100,3.08,PH,1686414323
115,bontang,0.1333,117.5,26.01,88,95,2.6,ID,1686414323
116,nikolskoye,59.7035,30.7861,14.95,34,1,3.12,RU,1686414323
117,yar-sale,66.8333,70.8333,12.41,50,100,7.53,RU,1686414323
118,kosa,59.9445,54.9977,6.81,63,88,4.25,RU,1686414323
119,provideniya,64.3833,-173.3,4.34,91,99,2.31,RU,1686414323
120,boa vista,2.8197,-60.6733,27.99,69,40,7.72,BR,1686414323
121,butaritari,3.0707,172.7902,27.86,77,97,4.7,KI,1686414323
122,sulangan,11.1373,123.7228,28.56,75,100,3.96,PH,1686414323
123,north myrtle beach,33.816,-78.68,30.72,48,0,3.6,US,1686414323
124,port elizabeth,-33.918,25.5701,15.05,85,0,2.57,ZA,1686414324
125,vardo,70.3705,31.1107,6.99,81,100,3.6,NO,1686414324
126,touros,-5.1989,-35.4608,29.63,62,27,6.71,BR,1686414324
127,san quintin,30.4833,-115.95,17.38,77,100,4.85,MX,1686414324
128,port-gentil,-0.7193,8.7815,24.77,83,87,5.85,GA,1686414324
129,axim,4.8699,-2.2405,26.1,82,94,5.83,GH,1686414324
130,morehead,37.2711,-87.1764,27.1,38,0,3.6,US,1686414132
131,airai,-8.9266,125.4092,13.7,87,22,1.76,TL,1686414324
132,nouadhibou,20.931,-17.0347,26.99,57,0,7.72,MR,1686414324
133,sao joao da barra,-21.6403,-41.0511,29.05,55,0,3.21,BR,1686414324
134,asind,25.7333,74.3333,34.71,28,0,5.09,IN,1686414324
135,kanniyakumari,8.0833,77.5667,28.38,75,100,8.35,IN,1686414325
136,guarapari,-20.6667,-40.4975,29.94,61,0,2.52,BR,1686414325
137,megion,61.0296,76.1136,15.01,46,37,4.44,RU,1686414325
138,nemuro,43.3236,145.575,9.57,96,99,1.05,JP,1686414325
139,atambua,-9.1061,124.8925,21.67,85,16,2.73,ID,1686414325
140,sioux lookout,50.1001,-91.917,13.04,62,40,3.09,CA,1686414325
141,vestmannaeyjar,63.4427,-20.2734,8.55,61,0,9.26,IS,1686414325
142,kharitonovo,61.4009,47.4978,7.64,69,98,3.99,RU,1686414326
143,zuwarah,32.9312,12.082,25.26,63,99,11.43,LY,1686414326
144,sitka,57.0531,-135.33,9.94,87,100,2.06,US,1686414326
145,paka,4.6374,103.4368,26.96,83,38,0.0,MY,1686414326
146,ouesso,1.6136,16.0517,27.76,69,100,1.31,CG,1686414326
147,moree,-29.4667,149.85,9.84,70,0,1.99,AU,1686414326
148,yellowknife,62.456,-114.3525,14.29,67,100,4.12,CA,1686414326
149,haines junction,60.7522,-137.5108,11.97,43,86,1.03,CA,1686414327
150,lavrentiya,65.5833,-171.0,2.48,97,100,0.35,RU,1686414327
151,neiafu,-18.65,-173.9833,22.38,94,40,2.06,TO,1686414327
152,maralal,1.0968,36.698,19.05,57,98,3.16,KE,1686414327
153,yulara,-25.2406,130.9889,15.26,72,99,1.85,AU,1686414327
154,mar del plata,-38.0023,-57.5575,13.94,50,20,7.2,AR,1686414159
155,mahebourg,-20.4081,57.7,23.16,78,20,3.09,MU,1686414328
156,omsukchan,62.5333,155.8,8.95,56,15,1.4,RU,1686414328
157,te anau,-45.4167,167.7167,6.36,92,100,1.35,NZ,1686414328
158,port keats,-14.25,129.55,22.6,58,39,2.76,AU,1686414328
159,causapscal,48.3542,-67.227,13.77,79,97,1.75,CA,1686414328
160,berdigestyakh,62.0989,126.6992,13.61,78,12,2.82,RU,1686414328
161,lorengau,-2.0226,147.2712,27.55,78,57,2.27,PG,1686414329
162,alofi,-19.0595,-169.9187,23.94,94,26,3.09,NU,1686414329
163,bredasdorp,-34.5322,20.0403,14.12,72,48,0.86,ZA,1686414329
164,hamilton,39.1834,-84.5333,28.21,35,0,3.09,US,1686414329
165,zarand,30.8127,56.564,28.08,25,8,6.27,IR,1686414329
166,puerto ayora,-0.7393,-90.3518,28.98,92,100,5.81,EC,1686414329
167,saint anthony,45.0205,-93.218,26.03,47,40,4.63,US,1686414329
168,les cayes,18.2,-73.75,29.55,73,88,6.0,HT,1686414329
169,berlevag,70.8578,29.0864,10.0,71,75,7.72,NO,1686414329
170,ancud,-41.8697,-73.8203,8.48,69,68,3.34,CL,1686414329
171,tuatapere,-46.1333,167.6833,7.61,87,98,2.34,NZ,1686414330
172,tevriz,57.509,72.4042,13.64,84,61,1.8,RU,1686414330
173,road town,18.4167,-64.6167,31.05,70,75,6.17,VG,1686414215
174,luderitz,-26.6481,15.1594,15.5,77,0,3.71,NA,1686414330
175,goderich,43.7501,-81.7165,18.18,59,99,3.09,CA,1686414266
176,mollendo,-17.0231,-72.0147,19.01,71,49,3.84,PE,1686414330
177,le vauclin,14.5452,-60.8388,31.03,66,75,8.75,MQ,1686414330
178,solnechnyy,50.7214,136.6319,13.15,85,4,2.04,RU,1686414330
179,russkaya polyana,49.417,31.9201,17.85,78,99,6.72,UA,1686414330
180,constitucion,-35.3333,-72.4167,12.41,51,1,6.05,CL,1686414330
181,moindou,-21.6924,165.677,18.94,73,1,2.19,NC,1686414331
182,luwuk,-0.9516,122.7875,25.4,88,54,1.71,ID,1686414331
183,oktyabrskiy,54.4815,53.471,16.09,86,69,2.9,RU,1686414331
184,ibb,13.9667,44.1833,22.56,55,93,1.58,YE,1686414331
185,kampene,-3.6,26.6667,24.57,76,90,0.79,CD,1686414331
186,toma,12.7667,-2.8833,38.23,27,93,3.93,BF,1686414331
187,zhigansk,66.7697,123.3711,12.96,80,100,1.4,RU,1686414331
188,fredericksburg,38.3032,-77.4605,29.23,36,0,3.6,US,1686414174
189,madison,34.7334,-86.5667,28.64,43,0,4.12,US,1686414175
190,huarmey,-10.0681,-78.1522,23.48,74,80,3.95,PE,1686414332
191,ribas do rio pardo,-20.4431,-53.7592,29.65,35,0,4.28,BR,1686414332
192,fallon,39.4735,-118.7774,21.62,55,75,3.6,US,1686414332
193,aripuana,-9.1667,-60.6333,33.68,40,54,1.47,BR,1686414332
194,vaini,-21.2,-175.2,19.09,88,20,2.06,TO,1686414332
195,doctor cecilio baez,-25.05,-56.3167,26.91,51,27,3.5,PY,1686414332
196,brae,60.3964,-1.353,14.59,66,96,7.32,GB,1686414332
197,broome,42.2506,-75.833,20.94,78,100,2.24,US,1686414332
198,kruisfontein,-34.0033,24.7314,13.82,78,3,2.62,ZA,1686414332
199,cidreira,-30.1811,-50.2056,24.25,54,59,2.71,BR,1686414190
200,ayutuxtepeque,13.7456,-89.2064,30.03,74,20,2.06,SV,1686414332
201,talnakh,69.4865,88.3972,4.56,60,3,2.87,RU,1686414332
202,pevek,69.7008,170.3133,-0.99,85,26,1.86,RU,1686414333
203,bonthe,7.5264,-12.505,29.39,71,98,4.96,SL,1686414333
204,wajima,37.4,136.9,19.38,87,100,3.38,JP,1686414333
205,coihaique,-45.5752,-72.0662,3.97,70,20,1.54,CL,1686414333
206,kurilsk,45.2333,147.8833,8.88,95,100,1.67,RU,1686414333
207,kapit,2.0167,112.9333,23.28,90,44,0.22,MY,1686414333
208,mapimi,25.8167,-103.85,29.54,21,11,5.53,MX,1686414333
209,thompson,55.7435,-97.8558,19.09,34,40,1.54,CA,1686414333
210,mogadishu,2.0371,45.3438,26.19,85,54,8.65,SO,1686414333
211,karratha,-20.7377,116.8463,21.31,53,2,3.4,AU,1686414333
212,nabire,-3.3667,135.4833,24.69,91,94,1.34,ID,1686414334
213,colborne,44.0001,-77.8828,23.1,71,10,2.99,CA,1686414335
214,nhulunbuy,-12.2333,136.7667,23.34,83,49,3.09,AU,1686414335
215,verkhnetulomskiy,68.6073,31.7962,11.07,45,100,1.08,RU,1686414335
216,lebu,-37.6167,-73.65,10.64,63,55,5.58,CL,1686414335
217,wronki,52.7105,16.3804,26.3,33,16,6.3,PL,1686414335
218,kirensk,57.7853,108.1119,16.38,95,92,2.29,RU,1686414335
219,saquisili,-0.8333,-78.6667,14.18,80,75,1.54,EC,1686414335
220,san policarpo,12.1791,125.5072,26.67,86,100,2.84,PH,1686414336
221,tiksi,71.6872,128.8694,3.27,73,20,4.22,RU,1686414336
222,hermanus,-34.4187,19.2345,12.11,77,60,1.18,ZA,1686414336
223,saint george,37.1041,-113.5841,26.35,28,0,1.54,US,1686414184
224,naze,28.3667,129.4833,24.51,88,100,2.94,JP,1686414336
225,pangnirtung,66.1451,-65.7125,3.0,87,75,5.66,CA,1686414336
226,la ronge,55.1001,-105.2842,20.14,49,20,3.6,CA,1686414336
227,itacoatiara,-3.1431,-58.4442,32.9,50,5,2.61,BR,1686414336
228,finschhafen,-6.6024,147.8681,25.68,83,37,3.34,PG,1686414336
